track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
210JCw2LbYD4YIs8GiZ9iP,Boyce  Avenue jennel garcia,Cover sessions vol 3,Demons,63,174174,0,0.678,0.351,0,-8.654,1,0.0266,0.747,0,0.355,0.569,90.032,4,Acoustic
5TvE3pk05pyFIGdSY9j4DJ,A  Great big world christina aguilera,Is there anybody out there? track by track commentary,Say something,70,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,3.00E-06,0.0913,0.0765,141.284,3,Acoustic
0BUuuEvNa5T4lMaewyiudB,Jason  Mraz,Coffee moment,93 million miles,0,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.40E-05,0.0974,0.515,140.182,4,Acoustic
3Hn3LfhrQOaKihdCibJsTs,Jason  Mraz,Human best adult pop tunes,Unlonely,0,231266,0,0.796,0.667,5,-4.831,0,0.0392,0.381,0,0.221,0.754,97.988,4,Acoustic
6D33wCKzWtNEgOovgeVJ7r,Jason  Mraz,Mellow adult pop,Bella luna,1,302346,0,0.755,0.454,9,-9.609,0,0.0352,0.757,0,0.236,0.33,120.06,4,Acoustic
5IfCZDRXZrqZSm8AwE44PG,Jason  Mraz,Holly jolly christmas,Winter wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,Acoustic
0dzKBptH2P5j5a0MifBMwM,Jason  Mraz,Feeling good adult pop favorites,If it kills me,0,273653,0,0.633,0.429,4,-6.784,0,0.0381,0.0444,0,0.132,0.52,143.793,4,Acoustic
5QAMZTM5cmLg3fHX9ZbTZi,Jason  Mraz,Christmas time,Winter wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,Acoustic
2qESE1ZeWly7I3YjyTXmXh,Jason  Mraz,Perfect christmas hits,Winter wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,Acoustic
3EQV1ZHtHvq9OnVRYIdbg3,Jason  Mraz,Merry christmas,Winter wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,Acoustic
3ax0rfGb7exLtl02LL08U9,Jason  Mraz,Christmas music holiday hits,Winter wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,Acoustic
1m5LC29RE52Bxy7hxvpOlL,Chord  Overstreet,Christmas country songs 2022,All i want for christmas is a real good tan,0,234186,0,0.593,0.455,6,-8.192,1,0.0388,0.366,0,0.0914,0.564,202.019,4,Acoustic
3H36x7buZdQD4687VmFrwY,Brandi  Carlile sam smith,Human best adult pop tunes,Party of one,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,Acoustic
0xbMRcMFqxJq1Wa7tvWPtn,Brandi  Carlile sam smith,Feeling good adult pop favorites,Party of one,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,Acoustic
6h061f44HZPj1OXO2nA45d,Brandi  Carlile sam smith,Mellow bars r'n'b,Party of one,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,Acoustic
62EwQLDw0dprDzuLwQ0sH1,Kt  Tunstall,Chill christmas dinner,Lonely this christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.60E-05,0.108,0.18,85.262,4,Acoustic
3lvo0I8c2qBJDLZWqExDgC,Brandi  Carlile,Rainy day indie,Throwing good after bad,0,247791,0,0.501,0.0952,2,-12.931,1,0.054,0.963,1.60E-05,0.0915,0.316,138.016,4,Acoustic
1ae8XfBQ3fDEvmBjFaemGV,Brandi  Carlile,Coffee moment,This time tomorrow,0,206267,0,0.606,0.326,10,-10.031,1,0.0294,0.841,0,0.139,0.414,91.626,4,Acoustic
0adVktNVJXPZfhQe6B1NO5,Kt  Tunstall,Sadsadchristmas,Lonely this christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.60E-05,0.108,0.18,85.262,4,Acoustic
6sp6Vx3sv2l5qxPfbQkcyt,Eddie  Vedder,Mega hits autumn fall 2022,The haves,0,306794,0,0.474,0.519,7,-5.291,1,0.0253,0.281,0,0.107,0.326,151.832,4,Acoustic
1WFVfVjCtbmdIv7j3Fa9iy,Brandi  Carlile,Mellow adult pop,When you're wrong,0,266960,0,0.568,0.301,10,-10.163,0,0.0373,0.796,3.00E-06,0.118,0.142,88.029,4,Acoustic
0e5PAxSyZ5DWWVqKANHETz,Brandi  Carlile lucius,Country car hits,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
1MLr9b1fOybO3MGiLy47Ys,Brandi  Carlile lucius,Country road songs,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
6JGjevTaqr9J1xp7YvYUKF,Brandi  Carlile,Finest country,"Speak your mind from the netflix series ""we the people""",0,193943,0,0.476,0.666,6,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4,Acoustic
7Af2YlwMZryKOQiRfwMsD2,Brandi  Carlile lucius,Easy country,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
3RE5nHIVkC4KcA7snFaTKd,Brandi  Carlile lucius,Cozy country,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
0JvkNRyq8Tmot9khpdtN0I,Brandi  Carlile lucius,Good times country,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
27gHtbsHClwimHFtKgFop4,Brandi  Carlile lucius,Laidback country,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
1QBNBGeIRRGBnLhdlHbfI8,Brandi  Carlile lucius,Chillin' it mellow day country,You and me on the rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,2.00E-06,0.0881,0.725,172.075,4,Acoustic
72xTsTouZ5nBmASX8k1XCW,Highland  Peak,Trampoline acoustic,Trampoline acoustic,46,213098,0,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,Acoustic
3ILmwMefYZoQh5Cf5jeuUQ,Motohiro  Hata,Documentary,Tou ming datsutashi jie,61,232360,0,0.373,0.914,0,-4.185,1,0.0565,0.076,0,0.669,0.56,168.21,4,Acoustic
2DHDuADAHoUW6n0z80RLQF,Andrew  Belle,Black bear,Pieces,60,241119,0,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,Acoustic
5JDcQAztvZTIkrWoZihgvC,Ron  Pope,The bedroom demos,A drop in the ocean,68,220239,0,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3,Acoustic
2sYFi9xVSZ56WHKSY2fN1K,Adam  Christopher,So far away acoustic,So far away acoustic,52,171543,0,0.576,0.331,6,-9.389,0,0.0306,0.894,3.40E-05,0.129,0.407,149.02,4,Acoustic
6xJOhSm4SvZwzy3uhWz26O,Andrew  Belle,Black bear,The enemy,62,286865,0,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,Acoustic
7lLKxcNeJtDTWVRKHovLEC,Aron  Wright,Build it better,Build it better,51,234473,0,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,Acoustic
25UzeaV47eDT44Fovve6xQ,Chord  Overstreet,Sleepwalking in the rain,Sleepwalking in the rain,0,216000,0,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,4,Acoustic
4oa14QBfWRDfJy2agySy0L,Sara  Bareilles,Little voice,Gravity,67,232760,0,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4,Acoustic
2gRKq9rIC5i1zuxp06zJWH,Chord  Overstreet,What's left of you,What's left of you,57,178600,1,0.731,0.507,0,-6.477,1,0.046,0.572,0,0.0912,0.265,117.969,4,Acoustic
08MFgEQeVLF37EyZ7jcwLc,Zack  Tabudlo,Pano,Pano,75,254400,0,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,Acoustic
6nXIYClvJAfi6ujLiKqEq8,Andrew  Belle,The daylight ep,Sky's still blue,62,244320,0,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,Acoustic
7x4b0UccXSKBWxWmjcrG2T,Kurt  Cobain,Montage of heck the home recordings,And i love her,66,124933,0,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,Acoustic
6owKuyHxUqidcAA6fPKSyy,Boyce  Avenue bea miller,Cover sessions vol 3,We can't stop,64,222146,0,0.705,0.347,2,-8.249,1,0.0301,0.674,0,0.12,0.36,80.057,4,Acoustic
0wbmIfvndFV9VDvuUY1pYN,Tim  Halperin,Covers,Always be my baby,62,181852,0,0.582,0.255,4,-10.254,1,0.0306,0.772,0,0.0889,0.285,139.884,4,Acoustic
3e5yu9MkIvQx17mm7LF6KY,Canyon  City,Midnight waves,Alone with you,58,186584,0,0.549,0.274,1,-12.565,1,0.0379,0.798,7.00E-06,0.103,0.207,86.664,4,Acoustic
6VwAh8Z1d5YKoSWoEaV4db,Aaron  Espe,Making all things new,Making all things new,65,159600,0,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,Acoustic
2D4BSm5Z8Hq5zYbSgJwEOh,Sara  Bareilles,What's inside songs from waitress,She used to be mine,67,250266,0,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4,Acoustic
7LwGBxB0h0CVmkOZxYKn0g,Andrew  Belle,In my veins feat erin mccarley,In my veins feat erin mccarley,65,318908,0,0.548,0.42,0,-7.842,1,0.0277,0.198,4.00E-06,0.0899,0.196,128.012,4,Acoustic
0ZwdH0m32I8odedwvspYTh,Tyler  Ward,Under covers,I don't wanna live forever fifty shades darker,44,222351,0,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,Acoustic
16dkWKIlBsfYTISCVuDs0w,Ron  Pope,Whatever it takes,A drop in the ocean,55,219480,0,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.00E-06,0.15,0.346,139.966,3,Acoustic
3TwtrR1yNLY1PMPsrGQpOp,Five  For fighting,America town,Superman it's not easy,70,221693,0,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4,Acoustic
3Et4LKZLnXygPYfNdeB3D3,Andrew  Belle,Dive deep,When the end comes,57,354400,0,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,Acoustic
2E9viCx0hJKNKNThd2MdGQ,Bailey  Jehl,You're still the one,You're still the one,56,177500,0,0.607,0.473,2,-8.555,1,0.034,0.712,0,0.66,0.54,119.698,4,Acoustic
0Zf1BPkkFAWGtVHeBwHHz4,Ingrid  Michaelson,It doesn't have to make sense,Light me up,56,247840,0,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,Acoustic
38jy6kRlPt8z1GUS9WXeNh,Jason  Mraz,Love is a four letter word,93 million miles,67,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.40E-05,0.0974,0.515,140.182,4,Acoustic
2SkJKMfjpYsNv0KWOxiegX,A  Great big world,When the morning comes,Kaleidoscope,62,229320,0,0.709,0.913,7,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4,Acoustic
4qCbMMMuEB56kHd4zPE6GD,Eddie  Vedder nusrat fateh ali khan,Eat pray love,The long road,45,330933,0,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4,Acoustic
11TK5KLtLZUdKr1C549bAw,Drew  Holcomb & the neighbors,Good light,What would i do without you,64,172213,0,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,Acoustic
7BXW1QCg56yzEBV8pW8pah,Jason  Mraz,Know,Have it all,65,226106,0,0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,4,Acoustic
2kMrCPZ0o5gErBPLCRgoli,Gabrielle  Aplin,Mellow adult pop,Heavy heart,0,235173,0,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,4,Acoustic
5IjTZ1g8KrIuV97N3OQZ0V,Gabrielle  Aplin,Break up songs,The house we never built,0,195213,0,0.546,0.391,2,-10.786,0,0.063,0.784,3.00E-06,0.0552,0.202,139.669,4,Acoustic
3bHhUEOTIbezeZ856R0BX5,Eddie  Vedder,Into the wild music for the motion picture,Society,68,236306,0,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,Acoustic
0wf17wsLRwnnfh241GkeH5,Gabrielle  Aplin,U don't deserve me,Please don't say you love me,0,181400,0,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,Acoustic
3322ArxAq7wCSZI4fF77Q0,Gabrielle  Aplin,Coffee moment,Please don't say you love me,0,181400,0,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4,Acoustic
4LGF2tDg3878bs0mQPByZ4,Eddie  Vedder,Into the wild music for the motion picture,Guaranteed,61,164500,0,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,Acoustic
6Uy6K3KdmUdAfelUp0SeXn,Sara  Bareilles,The blessed unrest,Brave,70,220573,0,0.551,0.836,10,-3.838,0,0.0524,0.005,2.10E-05,0.0425,0.758,185.063,4,Acoustic
2z2JKNU24UEngb4joR9p8f,Kt  Tunstall,Slow christmas songs 2022,Lonely this christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.60E-05,0.108,0.18,85.262,4,Acoustic
2nef44o0sjJDKB1ta4S0ub,Kt  Tunstall,Lonely christmas 2022,Lonely this christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.60E-05,0.108,0.18,85.262,4,Acoustic
0qJGlogD7AyMLAJfQ42aI2,Five  For fighting,Bookmarks,Heaven knows,62,210612,0,0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,4,Acoustic
04JS6OitE9VGsIS3S94Osg,The  Civil wars,Slow christmas songs 2022,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
5OGpsZeJRZ3t3MZioawcZW,The  Civil wars,Alternative christmas 2022,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
3Vnes7v746dYzBn0FJTZ1W,Kt  Tunstall,Alternative christmas 2022,Fairytale of new york,0,263866,0,0.447,0.555,2,-6.018,1,0.0349,0.218,3.00E-06,0.124,0.33,117.888,3,Acoustic
30cYWLpVdBZVLb1cYdmcTT,The  Civil wars,Acoustic christmas campfire,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
7sUqJ51FGSi3n7x4pYjY3v,The  Civil wars,Lonely christmas 2022,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
15BFn2VmEtonsXfNL1lUmy,The  Civil wars,Chill christmas dinner,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
0WOFJR54wyTwLB11jcBDb1,The  Civil wars,Sadsadchristmas,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
1uDCw6LVMOmbZ6zRliNcNX,The  Civil wars,Christmas country songs 2022,I heard the bells on christmas day,0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,1.00E-05,0.107,0.218,90.078,4,Acoustic
7DYsBLdOqz0z14tYWMt2Tn,Kt  Tunstall,Del gusto de mama,Hold on,0,177613,0,0.661,0.937,4,-5.157,0,0.0979,0.322,1.00E-06,0.19,0.805,105.549,4,Acoustic
7cPuE0M35EajWPRO3nRcH8,Kt  Tunstall,Oo's music grandi successi,Suddenly i see,0,199040,0,0.603,0.78,0,-5.531,1,0.0438,0.139,0,0.164,0.693,100.499,4,Acoustic
0U32q8CZRRo7xCzyiaZw5f,Motohiro  Hata,Yan noxie,Rain,58,293040,0,0.626,0.655,9,-6.69,1,0.0263,0.503,0,0.13,0.542,92.003,4,Acoustic
4kQXMVjoZ9yMibLZq5Aqi5,Callum  J wright,Somebody else acoustic,Somebody else acoustic,50,138495,0,0.794,0.38,10,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,4,Acoustic
3us8sod4dLbM9FiMiPiEY8,Andrew  Belle,Black bear hushed,Pieces hushed,59,198626,0,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,Acoustic
1PR5pyPiOEEQ02oJYq402x,Boyce  Avenue fifth harmony,Cover sessions vol 3,Mirrors,57,292566,0,0.545,0.658,1,-7.174,1,0.0474,0.496,0,0.105,0.683,76.971,4,Acoustic
068qo0w1Ki0cjnFYOUhAm2,Boyce  Avenue,Stand by me,Stand by me,60,199019,0,0.728,0.266,8,-7.322,1,0.0293,0.872,1.00E-05,0.114,0.307,115.189,4,Acoustic
2RFt6ZWQbr9mPhsft9u9eX,Gabrielle  Aplin jp cooper,Dear happy,Losing me,61,181760,0,0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4,Acoustic
59pUIlXjQupbiYwt40uUTi,Mone  Kamishiraishi,Chouchou,Nandemonaiya movie ver,49,349920,0,0.357,0.161,8,-10.667,1,0.0388,0.971,1.40E-05,0.358,0.325,83.449,4,Acoustic
0VhZ5JYfqPojSYeGWnk4dL,John  Adams,You're beautiful acoustic,You're beautiful acoustic,55,204973,0,0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4,Acoustic
0ltIx8PLjtWoS9zn9PqsZW,Kitri,Hikare inochi,Hikare inochi,51,322146,0,0.592,0.769,2,-5.268,1,0.0311,0.319,5.00E-06,0.137,0.385,102.033,4,Acoustic
7ACW42whcdOiUxiNVu7ltx,Tyler  Ward,Songs from nashville,How to lose a girl,46,210375,0,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,3,Acoustic
4qTHoIp62ngNDpUJwW3hZ7,Boyce  Avenue,Cover sessions vol 6,Can't help falling in love,57,131000,0,0.402,0.197,5,-10.775,1,0.0295,0.858,1.00E-06,0.114,0.148,100.044,3,Acoustic
4VbDTk82rqWqVgoQC93CkC,Andrew  Belle,Dive deep hushed,Dive deep hushed,58,218531,0,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4,Acoustic
1pG5nd6gmfbMwUfT5shDQe,Ben  Woodward,When the party's over acoustic piano,When the party's over acoustic piano,51,195945,0,0.619,0.226,4,-13.453,1,0.0641,0.959,4.40E-05,0.106,0.188,124.96,3,Acoustic
2WZyfujzMweFLnozyUJBkW,Augustana,All the stars and boulevards,Boston,63,245933,0,0.404,0.571,0,-5.069,1,0.0303,0.182,2.10E-05,0.129,0.29,147.01,4,Acoustic
6gijbGNDNNJgT60Aj7UCyc,Matthew  Perryman jones,Living in the shadows,Living in the shadows,53,212386,0,0.418,0.79,4,-6.599,0,0.0506,0.0284,1.00E-05,0.117,0.197,175.975,4,Acoustic
5pq4v03P5PxMcnCagg4S3Z,Boyce  Avenue,Cover sessions vol 4,In case you didn't know,60,225165,0,0.633,0.299,11,-7.798,1,0.0353,0.833,0,0.109,0.341,147.549,4,Acoustic
08OjvLnGR3M0HUhcePeMNO,Andrew  Foy renee foy,Death bed coffee for your head,Death bed coffee for your head,47,112008,0,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4,Acoustic
65VhbQdqvozUntjnlFkFbZ,Kina  Grannis,You are my sunshine,You are my sunshine,60,123609,0,0.664,0.0755,10,-19.836,1,0.0389,0.91,0,0.164,0.575,80.004,1,Acoustic
05pKAafT85jeeNhZ6kq7HT,Jason  Mraz,I won't give up,I won't give up,66,240165,0,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3,Acoustic
3PG6V5yuFfo4APiovOQoRv,Ray  Lamontagne sierra ferrell,I was born to love you,I was born to love you,67,265843,0,0.65,0.271,9,-11.081,1,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4,Acoustic
5O9R57EozcpLKGQBzadPVy,Meg  Birch,Life sucks playlist,Only love can hurt like this,43,194194,0,0.534,0.213,1,-8.64,1,0.0283,0.884,0,0.107,0.0998,98.385,4,Acoustic
6ta5yavnnEfCE4faU0jebM,Catherine  Feeny,Hurricane glass,Mr blue,54,154600,0,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,Acoustic
7BRCa8MPiyuvr2VU3O9W0F,Joshua  Hyslop,Where the mountain meets the valley,Do not let me go,60,158960,0,0.409,0.234,3,-13.711,1,0.0323,0.338,5.00E-05,0.0895,0.145,139.832,4,Acoustic
5ZhaKUsY68U0lgREFWfoxg,Ross  Copperman,Holding on and letting go single,Holding on and letting go,49,319000,0,0.502,0.53,2,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,78.046,4,Acoustic
4zcMBfbQZvBSHQBGDd6gsN,Jj  Heller,You already know,You already know,57,214360,0,0.496,0.117,0,-12.884,1,0.0301,0.933,0,0.126,0.318,78.068,4,Acoustic
7bhHLZxkRekrNPPkEdDTbn,Ben  Woodward,Believer remix,Believer remix,42,204480,0,0.585,0.724,1,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,187.484,3,Acoustic
5rwq6R0Uq0BngM3rdmCeNg,Howie  Day,Stop all the world now special edition,Collide acoustic version,67,277000,0,0.582,0.253,10,-11.43,1,0.0259,0.827,3.00E-05,0.091,0.294,90.186,4,Acoustic
2lxBZVbkiCXC1soks2RXwV,Ben  Rector,Magic,Love like this,61,214240,0,0.637,0.14,2,-11.472,1,0.0407,0.903,0,0.107,0.392,139.78,4,Acoustic
38YgZVHPWOWsKrsCXz6JyP,Matt  Nathanson,Some mad hope,Come on get higher,71,215173,0,0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4,Acoustic
6XrNrp7UtGgyZcHJ0ckL0w,Rachael  Yamagata,Something in the rain music from the original tv series,"""something in the rain"" something in the rain pt 1 music from the original tv series",49,296862,0,0.422,0.272,4,-10.772,0,0.0353,0.496,1.10E-05,0.0704,0.113,143.413,4,Acoustic
